region,subregion,date,lag,ccf,pacf_cases,pacf_deaths,days,pacf_cases_d1,pacf_cases_d2,pacf_deaths_d1,pacf_deaths_d2,pacf_cases_d1_sd,pacf_cases_d2_sd,pacf_deaths_d1_sd,pacf_deaths_d2_sd,minima,ma_days
Brazil,State,2020-03-06,10,0.3023936914817985,-0.15426493400805533,-0.0313365971255012,10,0.05072885332690627,0.003515485562424231,0.05874800448089104,-0.1824331999480963,0.14457156835995966,0.2159276964895402,0.17464703214729974,0.275418874364236,1,10
Brazil,State,2020-03-08,12,0.3042162900085702,-0.13136264797807928,-0.04446451344943371,12,-0.033649584412824896,-0.09020145485562583,0.06239800114912626,0.13792391862218503,0.14457156835995966,0.2159276964895402,0.17464703214729974,0.275418874364236,2,10
Brazil,State,2020-03-07,11,0.2851065852852998,-0.09771306356525439,-0.10686251459855997,11,0.05655187044280094,0.005823017115894669,-0.07552591747305877,-0.13427392195394983,0.14457156835995966,0.2159276964895402,0.17464703214729974,0.275418874364236,3,10
Brazil,State,2020-03-12,16,0.3014924152148786,-0.09690291285368127,-0.10502656663607382,16,0.04390842797181582,0.2910865230082781,0.15054439219875923,0.5098883901736688,0.14457156835995966,0.2159276964895402,0.17464703214729974,0.275418874364236,4,10
Brazil,State,2020-06-17,113,0.04753337353071214,-0.09347791544405673,-0.01669752958687837,113,-0.11743273425575285,-0.11956168020124341,-0.00848705126419957,-0.008537426429485363,0.14457156835995966,0.2159276964895402,0.17464703214729974,0.275418874364236,5,10
Brazil,State,2020-03-14,18,0.2455297057904798,-0.08457592316092437,-0.055178704018216,18,-0.09864900146720229,-0.2096249926271615,0.05098009875547838,0.052112334893098945,0.14457156835995966,0.2159276964895402,0.17464703214729974,0.275418874364236,6,10
Brazil,State,2020-07-19,145,-0.06444283227205051,-0.07607860820183035,-0.029658582755663753,145,-0.054122688549074496,-0.003072285520306514,-0.025601419104537733,0.029650603554048756,0.14457156835995966,0.2159276964895402,0.17464703214729974,0.275418874364236,7,10
Brazil,State,2021-01-01,311,0.2992127139477077,-0.07114954720331153,0.015137921673793617,311,-0.11431525922948747,-0.2012049888525152,0.03289513345991652,0.040444935724292176,0.14457156835995966,0.2159276964895402,0.17464703214729974,0.275418874364236,8,10
Brazil,State,2020-08-07,164,-0.08164855674682044,-0.0691024673964857,-0.09674651633339675,164,-0.03328831756285454,0.025667374578636437,-0.12005900866251262,-0.1004534886505033,0.14457156835995966,0.2159276964895402,0.17464703214729974,0.275418874364236,9,10
Brazil,State,2020-08-01,158,-0.0908813342696506,-0.06558044430159475,0.011447442375707141,158,-0.05637525825430077,-0.05562743781184093,0.004118873091618598,0.008651600482016953,0.14457156835995966,0.2159276964895402,0.17464703214729974,0.275418874364236,10,10
Europe,Country,2020-02-20,50,0.20272849187526634,-0.12334671757675887,-0.003922527552592846,50,-0.1530818109172952,-0.2094314476707548,-0.038351383827536036,-0.04945999166153981,0.1728418312731753,0.2686233288861905,0.07829451582112651,0.09885465420860864,1,11
Europe,Country,2020-01-13,12,0.17314527982971104,-0.09909408129106816,-0.045642134115536054,12,-0.00999985007249439,-0.08650588703389224,0.01052809597622291,0.0012106720825438566,0.1728418312731753,0.2686233288861905,0.07829451582112651,0.09885465420860864,2,11
Europe,Country,2020-01-12,11,0.16729592463676046,-0.08909423121857377,-0.05617023009175896,11,0.07650603696139785,0.03204785793606618,0.009317423893679053,-0.019487237935973012,0.1728418312731753,0.2686233288861905,0.07829451582112651,0.09885465420860864,3,11
Europe,Country,2020-08-31,243,-0.14807719832792257,-0.08166474922840058,-0.04114554103550617,243,-0.054502910529752174,-0.08382414472821242,-0.0013006881583381355,0.02882621538191428,0.1728418312731753,0.2686233288861905,0.07829451582112651,0.09885465420860864,4,11
Europe,Country,2020-02-15,45,0.15685284112659476,-0.06659278124075393,-0.017588319382119896,45,-0.033154702642193036,-0.010724749438791377,0.009223063731840217,0.030623539716068356,0.1728418312731753,0.2686233288861905,0.07829451582112651,0.09885465420860864,5,11
Europe,Country,2020-07-15,196,-0.2062192356421725,-0.06532709497955397,0.024052484894355984,196,-0.057837314784396444,-0.10934963831765453,0.016507135303554837,0.02150398928314451,0.1728418312731753,0.2686233288861905,0.07829451582112651,0.09885465420860864,6,11
Europe,Country,2021-01-07,372,0.47011770327361213,-0.05992959414928025,-0.007621799441489355,372,-0.06932072735813322,-0.06574864513800843,-0.009179580038907821,-0.01722275276532347,0.1728418312731753,0.2686233288861905,0.07829451582112651,0.09885465420860864,7,11
Europe,Country,2020-04-02,92,0.060579458283360775,-0.05960272249721826,2.6269097416877087e-4,92,-0.0705805593063296,-0.04640393547002706,-0.004427306563897841,-0.014566103051321593,0.1728418312731753,0.2686233288861905,0.07829451582112651,0.09885465420860864,8,11
Europe,Country,2020-07-13,194,-0.24659605165066978,-0.059002103728415606,0.012542203570390818,194,-0.07596486697453382,-0.09982177571583066,3.11951793899503e-5,-7.81158749469546e-4,0.1728418312731753,0.2686233288861905,0.07829451582112651,0.09885465420860864,9,11
Europe,Country,2021-03-01,425,0.4967247999373948,-0.05832453812806733,0.0050297983900342205,425,-0.08589829506006305,-0.09283947823356373,-0.009597228122325743,-0.0028805832689679425,0.1728418312731753,0.2686233288861905,0.07829451582112651,0.09885465420860864,10,11
Georgia,County,2020-12-16,329,0.028612079245265314,-0.07922348785383385,-0.008620914289250645,329,-0.058173642169373874,-0.04327009240222539,0.002211846308017424,0.0062441448961413175,0.09621439526755143,0.16197892117108492,0.08189520478127606,0.1384304007473582,1,36
Georgia,County,2020-12-30,343,0.03293773430863211,-0.07917578877489004,0.006476305425428248,343,-0.07480547514816756,-0.07918148709994338,0.014055799474843436,0.021475707547893644,0.09621439526755143,0.16197892117108492,0.08189520478127606,0.1384304007473582,2,36
Georgia,County,2020-02-27,36,-0.02020645131476477,-0.07414552902859094,-0.02791593111719466,36,-0.04544778984696482,-0.13683134262439323,-0.010339819116252456,-0.05021065171679229,0.09621439526755143,0.16197892117108492,0.08189520478127606,0.1384304007473582,3,36
Georgia,County,2020-12-31,344,0.014885015019545799,-0.07062914411968034,-0.010433420234134324,344,0.008546644655209698,0.08335211980337726,-0.01690972565956257,-0.030965525134406008,0.09621439526755143,0.16197892117108492,0.08189520478127606,0.1384304007473582,4,36
Georgia,County,2020-07-04,164,-0.05102693215705948,-0.06675724602928751,-0.012378833802913334,164,-0.08977070662728702,-0.09985321534097594,-4.609604812135012e-4,0.01459790427405924,0.09621439526755143,0.16197892117108492,0.08189520478127606,0.1384304007473582,5,36
Georgia,County,2021-01-14,358,-0.003359093323677683,-0.06234780766341125,-0.017488533589400557,358,-0.07953725656575777,-0.025448475788874894,-0.02543023945172345,-0.036639416044465356,0.09621439526755143,0.16197892117108492,0.08189520478127606,0.1384304007473582,6,36
Georgia,County,2020-08-03,194,0.005904952352814757,-0.06038796363043237,-0.005264866880053859,194,-0.05585331054665326,-0.0238780205850333,0.017639306772548827,0.012220073622804958,0.09621439526755143,0.16197892117108492,0.08189520478127606,0.1384304007473582,7,36
Georgia,County,2020-03-05,43,-0.09791490854481699,-0.05819563385117009,-0.07335966740546226,43,-0.04972174998913019,-0.014483089942814088,-0.06363043747387978,0.019446979321570385,0.09621439526755143,0.16197892117108492,0.08189520478127606,0.1384304007473582,8,36
Georgia,County,2021-01-03,347,0.009108362996514116,-0.050264321099219314,0.001030255227813645,347,-0.08231360102564851,-0.07755362066328543,-0.010042669348571572,-0.02138859824237968,0.09621439526755143,0.16197892117108492,0.08189520478127606,0.1384304007473582,9,36
Georgia,County,2021-01-24,368,-0.0011306173134310795,-0.04992601219891353,0.011766947499063379,368,-0.07587721970474509,-0.1145121280838726,0.020036672769894872,0.015461391407603796,0.09621439526755143,0.16197892117108492,0.08189520478127606,0.1384304007473582,10,36
Illinois,County,2020-09-01,223,-0.007396237361669496,-0.06471411658197417,-0.005028302029076708,223,0.013738925425359733,0.08158634378844452,7.671390605165172e-4,0.0036071572185855222,0.018169955820714494,0.02711457678777348,0.009325229430072635,0.015457666306200855,1,209
Illinois,County,2020-09-16,238,-0.003584937456158908,-0.03312844252228469,-2.587852545092505e-4,238,0.0029514017310050267,0.035222786924070736,1.4927791004097456e-4,-9.763456115968808e-4,0.018169955820714494,0.02711457678777348,0.009325229430072635,0.015457666306200855,2,209
Illinois,County,2020-08-25,216,-0.006790876249839559,-0.021753481956629163,-0.004384428633358619,216,-0.012496166188869505,-0.007153484797405281,0.0022656083210957027,0.007763360859883312,0.018169955820714494,0.02711457678777348,0.009325229430072635,0.015457666306200855,3,209
Illinois,County,2020-09-10,232,-0.00836799783929963,-0.02156876045794409,-0.004849387365835965,232,0.007963932021828084,0.02475332463919357,-6.467866617748336e-4,-0.0024839775193128306,0.018169955820714494,0.02711457678777348,0.009325229430072635,0.015457666306200855,4,209
Illinois,County,2021-04-26,460,-0.0019410770104361537,-0.018556936535156464,-0.0035286863117634645,460,-0.008815970010927082,-0.008258172081120977,-0.0039427540933692235,-0.009965204673739056,0.018169955820714494,0.02711457678777348,0.009325229430072635,0.015457666306200855,5,209
Illinois,County,2021-04-20,454,0.0023592149362309696,-0.01710145873233053,-0.001558370154988866,454,-0.002977106990861485,6.865833361555142e-4,0.001540698674104157,4.1824477327579595e-4,0.018169955820714494,0.02711457678777348,0.009325229430072635,0.015457666306200855,6,209
Illinois,County,2020-08-27,218,-0.008501117917602444,-0.01665477720452461,-0.006055786824028591,218,-0.0018667325749599176,-0.008832169902024387,5.694242387696002e-4,0.002810206668209172,0.018169955820714494,0.02711457678777348,0.009325229430072635,0.015457666306200855,7,209
Illinois,County,2021-04-11,445,0.002823448700640985,-0.01663617298480374,-0.0014305208473992333,445,-0.0028164714622360386,0.0026035669282618665,-4.4741507876909373e-4,-8.060635690510624e-4,0.018169955820714494,0.02711457678777348,0.009325229430072635,0.015457666306200855,8,209
Illinois,County,2020-08-18,209,-0.0019530275574490131,-0.016373350428610194,7.781965190344993e-4,209,-0.009667333256429642,-0.004325549876677843,0.004440203532305786,0.006769014866776589,0.018169955820714494,0.02711457678777348,0.009325229430072635,0.015457666306200855,9,209
Illinois,County,2021-04-27,461,5.046179247645085e-4,-0.01588447284753339,-0.0016333230921336595,461,0.002672463687623073,0.011488433698550155,0.001895363219629805,0.005838117312999028,0.018169955820714494,0.02711457678777348,0.009325229430072635,0.015457666306200855,10,209
India,State,2020-03-22,10,0.4688815427028037,-0.12809089036573088,0.008005842500982182,10,-0.0025448147786965303,0.038613732580722857,0.011788221526623793,0.022035501810451608,0.08391938772459258,0.11772080228888776,0.11352559739938556,0.18316205863684196,1,8
India,State,2020-03-23,11,0.45504897735448385,-0.12745953879194455,0.08319001379209949,11,6.313515737863262e-4,0.0031761663524828565,0.0751841712911173,0.06339594976449352,0.08391938772459258,0.11772080228888776,0.11352559739938556,0.18316205863684196,2,8
India,State,2020-03-21,9,0.4869436476583822,-0.12554607558703434,-0.0037823790256416106,9,-0.04115854735941939,0.04128898892618628,-0.010247280283827816,0.05323588570449461,0.08391938772459258,0.11772080228888776,0.11352559739938556,0.18316205863684196,3,8
India,State,2020-03-27,15,0.3671363580847969,-0.12207042483637205,-0.16887351657762367,15,-0.05129807042174746,-0.06610543066442554,-0.09292882633312158,0.04256642968188554,0.08391938772459258,0.11772080228888776,0.11352559739938556,0.18316205863684196,4,8
India,State,2020-03-25,13,0.4171853414515484,-0.08557971465730267,0.059550565770505035,13,0.0612472010283973,0.08061457792215272,0.10496839219683074,0.23357623241525594,0.08391938772459258,0.11772080228888776,0.11352559739938556,0.18316205863684196,5,8
India,State,2020-03-20,8,0.5067603884151047,-0.08438752822761496,0.006464901258186205,8,-0.08244753628560567,-0.02112524377206023,-0.06348316598832243,-0.04153154706990472,0.08391938772459258,0.11772080228888776,0.11352559739938556,0.18316205863684196,6,8
India,State,2020-07-02,112,-0.1831888867633001,-0.07036457400742928,-0.023529718372304567,112,-0.07401004721198051,-0.07778761945354189,-0.03175240388489259,-0.08557791770456187,0.08391938772459258,0.11772080228888776,0.11352559739938556,0.18316205863684196,7,8
India,State,2020-05-10,59,-0.06749934670019438,-0.06908520120439661,-0.007295132671897222,59,-0.04436137029607744,-0.02977387129034444,0.030762053529604684,0.09638599341341161,0.08391938772459258,0.11772080228888776,0.11352559739938556,0.18316205863684196,8,8
India,State,2020-09-20,192,0.008646277538317097,-0.06224213747702304,0.0020004863241241976,192,-0.045093120184654334,-0.017821638226854918,0.0476586923822849,0.05383158247903242,0.08391938772459258,0.11772080228888776,0.11352559739938556,0.18316205863684196,9,8
India,State,2021-09-11,534,0.007326637124701383,-0.05547596213734573,0.00535180888275301,548,-0.03724361930177465,-0.013429451505712904,0.0013285533565697335,-0.03956697277365166,0.08391938772459258,0.11772080228888776,0.11352559739938556,0.18316205863684196,10,8
Kansas,County,2021-02-19,394,0.05954106090772923,-0.1082737629593961,0.0033938744529252306,394,-0.1046086957140035,-0.0732558451220717,0.0014071782311059653,0.0259304181527381,0.14684950329500815,0.2571211476396734,0.06380835219844434,0.11298295382230267,1,12
Kansas,County,2020-02-14,23,0.06654950285060225,-0.10157123076775298,0.009605418615022626,23,-0.03887950287599232,0.09706518557708241,-0.0033263435343697887,0.03839134437150951,0.14684950329500815,0.2571211476396734,0.06380835219844434,0.11298295382230267,2,12
Kansas,County,2020-12-25,338,0.035431280215824444,-0.09751311340146983,0.01361627924003615,338,-0.12531313758815282,-0.11701463410957007,0.025340350307235603,0.04127783520215739,0.14684950329500815,0.2571211476396734,0.06380835219844434,0.11298295382230267,3,12
Kansas,County,2020-02-03,12,0.05621349770019367,-0.07559209859020409,0.060846450508235714,12,-0.028188354615513528,0.006363002049128735,0.04589875814866229,0.06476524949688378,0.14684950329500815,0.2571211476396734,0.06380835219844434,0.11298295382230267,4,12
Kansas,County,2020-02-21,30,0.0454310879518865,-0.07210894862422178,0.031215412689982867,30,-0.06074775284397773,0.11419137081690059,0.03274605891479648,0.07115054321336228,0.14684950329500815,0.2571211476396734,0.06380835219844434,0.11298295382230267,5,12
Kansas,County,2021-02-02,377,0.023943907856471457,-0.06684600502687052,0.009063133962683153,377,-0.04609176434983735,0.017108688325998586,0.004345660921380803,0.0030012206553402753,0.14684950329500815,0.2571211476396734,0.06380835219844434,0.11298295382230267,6,12
Kansas,County,2020-02-13,22,-0.02692990749364259,-0.06269172789176067,0.012931762149392415,22,-0.13594468845307472,-0.22456457098877425,-0.0417176879058793,-0.10331017130234946,0.14684950329500815,0.2571211476396734,0.06380835219844434,0.11298295382230267,7,12
Kansas,County,2020-02-17,26,0.022779007653838782,-0.06194314853683281,-0.008842229361468442,26,-0.07200805549964875,-0.07365888591762657,-0.02997446605983984,-0.04609346921309013,0.14684950329500815,0.2571211476396734,0.06380835219844434,0.11298295382230267,8,12
Kansas,County,2021-02-05,380,0.07882569910669934,-0.055708704575486316,0.006151022129886197,380,-0.06287654594615988,-0.06445284695676273,0.004474863756132929,0.009919316969856387,0.14684950329500815,0.2571211476396734,0.06380835219844434,0.11298295382230267,9,12
Kansas,County,2020-03-07,45,-0.019201813911746468,-0.05270149142913997,-0.0012027818910022635,45,-0.008879432670524372,0.00647671954406228,-0.028270777003336585,-0.051462205749526355,0.14684950329500815,0.2571211476396734,0.06380835219844434,0.11298295382230267,10,12
Kentucky,County,2020-02-11,20,0.01405534980060257,-0.16180989496448384,0.016997281390964455,20,-0.1230195418451633,-0.07714349773095802,0.01532015163036378,0.012633234767369236,0.1250450017384525,0.20881222330055263,0.13161460953014578,0.22909879702600433,1,10
Kentucky,County,2020-02-04,13,0.037306172596117126,-0.15669452111601925,0.0033785935025971753,13,-0.04908087366145783,-0.03484919794468189,-0.03888322998508391,-0.09498271012464418,0.1250450017384525,0.20881222330055263,0.13161460953014578,0.22909879702600433,2,10
Kentucky,County,2020-02-03,12,-0.018985953694918224,-0.10761364745456142,0.04226182348768109,12,-0.014231675716775943,-0.0053677394315329585,0.056099480139560266,0.0668112307781392,0.1250450017384525,0.20881222330055263,0.13161460953014578,0.22909879702600433,3,10
Kentucky,County,2020-06-24,154,0.3059453813488765,-0.09997750969825893,0.05053828095475126,154,-0.10980755332142339,-0.10766795668630116,0.06522094175908029,0.08344113091719342,0.1250450017384525,0.20881222330055263,0.13161460953014578,0.22909879702600433,4,10
Kentucky,County,2020-06-02,132,-0.020250153635932286,-0.09471884556939682,-0.040778024156442286,132,-0.11247190513862515,-0.10395589651102367,-0.05431747953213092,-0.06778286965589006,0.1250450017384525,0.20881222330055263,0.13161460953014578,0.22909879702600433,5,10
Kentucky,County,2020-02-02,11,0.027744900615251273,-0.09338197173778548,-0.013837656651879181,11,-0.008863936285242985,0.05095014983800478,-0.010711750638578935,-0.01637257710417692,0.1250450017384525,0.20881222330055263,0.13161460953014578,0.22909879702600433,6,10
Kentucky,County,2020-02-01,10,0.02726171266258443,-0.0845180354525425,-0.0031259060133002467,10,-0.05981408612324776,0.20129807133676184,0.005660826465597984,-0.07080614972748529,0.1250450017384525,0.20881222330055263,0.13161460953014578,0.22909879702600433,7,10
Kentucky,County,2020-02-14,23,-0.009788869923291988,-0.08286072553072125,-0.019066162645837846,23,-0.04733357195426454,0.15407859611183652,-0.008846977707060976,0.1685003440816904,0.1250450017384525,0.20881222330055263,0.13161460953014578,0.22909879702600433,8,10
Kentucky,County,2020-02-15,24,0.02215405206560338,-0.0803521874383416,0.0039435290493707404,24,0.00250853809237965,0.04984211004664419,0.023009691695208587,0.03185666940226956,0.1250450017384525,0.20881222330055263,0.13161460953014578,0.22909879702600433,9,10
